file,nI,nJ,nK,nL,tI,tJ,seed,kstar,md5
kstar_nI10_nJ10_nK30_nL3_tI2_tJ2_s1.txt,10,10,30,3,2,2,1,4,bb71bca8b82d8b0264089825cdfaf9e6
kstar_nI10_nJ10_nK30_nL3_tI2_tJ2_s2.txt,10,10,30,3,2,2,2,4,ffa3a71a07bc45a83233bc612b695113
kstar_nI10_nJ10_nK30_nL3_tI2_tJ2_s3.txt,10,10,30,3,2,2,3,4,6d99514c1bcf9f7adf81f367fd902235
kstar_nI10_nJ10_nK30_nL3_tI2_tJ2_s4.txt,10,10,30,3,2,2,4,4,ea3991c1abf801774817ef9a09029c9f
kstar_nI10_nJ10_nK30_nL3_tI2_tJ2_s5.txt,10,10,30,3,2,2,5,4,17d79b414c462f7e678b4c16b91e8ebd
kstar_nI10_nJ10_nK30_nL3_tI2_tJ2_s6.txt,10,10,30,3,2,2,6,4,3abbf39d4a5773b29498d08015daad53
kstar_nI10_nJ10_nK30_nL3_tI2_tJ2_s7.txt,10,10,30,3,2,2,7,4,d3ccfaee15d66b9038b3d2f62a1ce75f
kstar_nI10_nJ10_nK30_nL3_tI2_tJ2_s8.txt,10,10,30,3,2,2,8,4,f592ea8797bc464fe5fa858a53eed5e1
kstar_nI10_nJ10_nK30_nL3_tI2_tJ2_s9.txt,10,10,30,3,2,2,9,4,dccf301481c7024c74130d58e35a0962
kstar_nI10_nJ10_nK30_nL3_tI2_tJ2_s10.txt,10,10,30,3,2,2,10,4,06d5b462d9b3f3457f7938aeb1db82e9
kstar_nI10_nJ10_nK30_nL3_tI4_tJ4_s1.txt,10,10,30,3,4,4,1,8,2930898dd04a9c759065f3aa80dd810a
kstar_nI10_nJ10_nK30_nL3_tI4_tJ4_s2.txt,10,10,30,3,4,4,2,8,53d4309f49a62f232f318927129bbc68
kstar_nI10_nJ10_nK30_nL3_tI4_tJ4_s3.txt,10,10,30,3,4,4,3,8,56059f126190ce206713997a6ad6b8e8
kstar_nI10_nJ10_nK30_nL3_tI4_tJ4_s4.txt,10,10,30,3,4,4,4,8,9c66336f7a626f35bb306e5be69dbf69
kstar_nI10_nJ10_nK30_nL3_tI4_tJ4_s5.txt,10,10,30,3,4,4,5,8,52225fffcd121508ecc251ba11762b06
kstar_nI10_nJ10_nK30_nL3_tI4_tJ4_s6.txt,10,10,30,3,4,4,6,8,2a0e06580eb9ac070220a61a2f093516
kstar_nI10_nJ10_nK30_nL3_tI4_tJ4_s7.txt,10,10,30,3,4,4,7,8,a1c58997899bda8d1d4b1b158d44a861
kstar_nI10_nJ10_nK30_nL3_tI4_tJ4_s8.txt,10,10,30,3,4,4,8,8,65338462c3bdda57c22381e32655191c
kstar_nI10_nJ10_nK30_nL3_tI4_tJ4_s9.txt,10,10,30,3,4,4,9,8,a0cd7a8f8cff88e0e9ab2cf8260dce5a
kstar_nI10_nJ10_nK30_nL3_tI4_tJ4_s10.txt,10,10,30,3,4,4,10,8,cf277458d90e5a1b06743978503953ba
kstar_nI10_nJ10_nK30_nL3_tI6_tJ6_s1.txt,10,10,30,3,6,6,1,12,1a45ad073de03e1713561632f3889107
kstar_nI10_nJ10_nK30_nL3_tI6_tJ6_s2.txt,10,10,30,3,6,6,2,12,fe5eb2c0a0f060538b7290b66503c487
kstar_nI10_nJ10_nK30_nL3_tI6_tJ6_s3.txt,10,10,30,3,6,6,3,12,ce8da02f1fc7bb06fe8443a16a103fbb
kstar_nI10_nJ10_nK30_nL3_tI6_tJ6_s4.txt,10,10,30,3,6,6,4,12,a205efa252dd8f56460ddf596ea2e38c
kstar_nI10_nJ10_nK30_nL3_tI6_tJ6_s5.txt,10,10,30,3,6,6,5,12,6522c01d33659ad52216eac7352260cf
kstar_nI10_nJ10_nK30_nL3_tI6_tJ6_s6.txt,10,10,30,3,6,6,6,12,fed9da12c9c12abcf7f1b2950f0cf4b2
kstar_nI10_nJ10_nK30_nL3_tI6_tJ6_s7.txt,10,10,30,3,6,6,7,12,610dfdb6c4f11b99bc692c528f8c0022
kstar_nI10_nJ10_nK30_nL3_tI6_tJ6_s8.txt,10,10,30,3,6,6,8,12,8386cb9656c03e089046c20c796fc6b7
kstar_nI10_nJ10_nK30_nL3_tI6_tJ6_s9.txt,10,10,30,3,6,6,9,12,03881dfc5698b3348529723f3d388e40
kstar_nI10_nJ10_nK30_nL3_tI6_tJ6_s10.txt,10,10,30,3,6,6,10,12,9ea8f33b3d00a11be1160f64b305e436
kstar_nI10_nJ10_nK30_nL3_tI8_tJ8_s1.txt,10,10,30,3,8,8,1,16,2e9616d0a964d5664498d269e599e739
kstar_nI10_nJ10_nK30_nL3_tI8_tJ8_s2.txt,10,10,30,3,8,8,2,16,cd2634d0136b52f3145809d4e059fbc0
kstar_nI10_nJ10_nK30_nL3_tI8_tJ8_s3.txt,10,10,30,3,8,8,3,16,0913e1d914345bba6d3cc35f144cc09c
kstar_nI10_nJ10_nK30_nL3_tI8_tJ8_s4.txt,10,10,30,3,8,8,4,16,e0bdb83e9d1f1f613faee80e4975361a
kstar_nI10_nJ10_nK30_nL3_tI8_tJ8_s5.txt,10,10,30,3,8,8,5,16,7a2835dcf3727e8a2bec846e825f8c2f
kstar_nI10_nJ10_nK30_nL3_tI8_tJ8_s6.txt,10,10,30,3,8,8,6,16,2b5f9a8e6c6d146b148e34b8d113591b
kstar_nI10_nJ10_nK30_nL3_tI8_tJ8_s7.txt,10,10,30,3,8,8,7,16,d0e6fd3ee8a0f322ca5144f68156aaa3
kstar_nI10_nJ10_nK30_nL3_tI8_tJ8_s8.txt,10,10,30,3,8,8,8,16,7a3856f3c1d3690f73778d82c388c1e0
kstar_nI10_nJ10_nK30_nL3_tI8_tJ8_s9.txt,10,10,30,3,8,8,9,16,d6d7a5fb29df366ce335e2733b601c99
kstar_nI10_nJ10_nK30_nL3_tI8_tJ8_s10.txt,10,10,30,3,8,8,10,16,bfcf6db4cd60855b7ade87815f6c7282
kstar_nI12_nJ12_nK30_nL3_tI2_tJ2_s1.txt,12,12,30,3,2,2,1,4,9adb7c909885a343bf5037c3ed4de787
kstar_nI12_nJ12_nK30_nL3_tI2_tJ2_s2.txt,12,12,30,3,2,2,2,4,139f05b3d8c0b0ec57d209a0d8377560
kstar_nI12_nJ12_nK30_nL3_tI2_tJ2_s3.txt,12,12,30,3,2,2,3,4,a866ab76f545f4959acfbfb20b0c5eb3
kstar_nI12_nJ12_nK30_nL3_tI2_tJ2_s4.txt,12,12,30,3,2,2,4,4,9ae70eea274e2a7e24772263e3412f2e
kstar_nI12_nJ12_nK30_nL3_tI2_tJ2_s5.txt,12,12,30,3,2,2,5,4,77e30018ae18e20ccea44b7dd4144299
kstar_nI12_nJ12_nK30_nL3_tI2_tJ2_s6.txt,12,12,30,3,2,2,6,4,cd714c40f90ffb3a26b3f20429db58bb
kstar_nI12_nJ12_nK30_nL3_tI2_tJ2_s7.txt,12,12,30,3,2,2,7,4,41cf03e7c5869545d0565edd29996f6f
kstar_nI12_nJ12_nK30_nL3_tI2_tJ2_s8.txt,12,12,30,3,2,2,8,4,65b7f416b60aebd1c0a4e52190778ed8
kstar_nI12_nJ12_nK30_nL3_tI2_tJ2_s9.txt,12,12,30,3,2,2,9,4,492fbdbba4b500028cccd4436104f44e
kstar_nI12_nJ12_nK30_nL3_tI2_tJ2_s10.txt,12,12,30,3,2,2,10,4,99715ba88acd626216cb282482c15635
kstar_nI12_nJ12_nK30_nL3_tI4_tJ4_s1.txt,12,12,30,3,4,4,1,8,5979369ec15b12e523bee5ce9e6205cb
kstar_nI12_nJ12_nK30_nL3_tI4_tJ4_s2.txt,12,12,30,3,4,4,2,8,14f9f05b3c8a38b0a4db3977f60aaa72
kstar_nI12_nJ12_nK30_nL3_tI4_tJ4_s3.txt,12,12,30,3,4,4,3,8,97dc0d999afcca7059f097acade20ca9
kstar_nI12_nJ12_nK30_nL3_tI4_tJ4_s4.txt,12,12,30,3,4,4,4,8,7e3d9a76cc064fac2d1bb5190b10ab3e
kstar_nI12_nJ12_nK30_nL3_tI4_tJ4_s5.txt,12,12,30,3,4,4,5,8,4255488462d9b0d2745f3878e28e14dc
kstar_nI12_nJ12_nK30_nL3_tI4_tJ4_s6.txt,12,12,30,3,4,4,6,8,40b5776a946c7335eb812c1a84c4f435
kstar_nI12_nJ12_nK30_nL3_tI4_tJ4_s7.txt,12,12,30,3,4,4,7,8,225775bad8f73a20fd728e1705cf1b3c
kstar_nI12_nJ12_nK30_nL3_tI4_tJ4_s8.txt,12,12,30,3,4,4,8,8,c441370e6e2be38afea3521dc6f4cdbc
kstar_nI12_nJ12_nK30_nL3_tI4_tJ4_s9.txt,12,12,30,3,4,4,9,8,0aa612a752aeecacfd91519026bd63c9
kstar_nI12_nJ12_nK30_nL3_tI4_tJ4_s10.txt,12,12,30,3,4,4,10,8,372b0c68d29feb889dcd2350fcde8a6e
kstar_nI12_nJ12_nK30_nL3_tI6_tJ6_s1.txt,12,12,30,3,6,6,1,12,6b3a94387a7c3ab6212cfdb2dd6c3333
kstar_nI12_nJ12_nK30_nL3_tI6_tJ6_s2.txt,12,12,30,3,6,6,2,12,30c029ff0d3075b64cbebb3355479384
kstar_nI12_nJ12_nK30_nL3_tI6_tJ6_s3.txt,12,12,30,3,6,6,3,12,762ab1a059c85050ea60e7534fc7b453
kstar_nI12_nJ12_nK30_nL3_tI6_tJ6_s4.txt,12,12,30,3,6,6,4,12,79a2564b209120cdde0a507425ae7e9c
kstar_nI12_nJ12_nK30_nL3_tI6_tJ6_s5.txt,12,12,30,3,6,6,5,12,021a34314945486146a7bf9478c16c65
kstar_nI12_nJ12_nK30_nL3_tI6_tJ6_s6.txt,12,12,30,3,6,6,6,12,e22f998de8d6991cab019267178b9d2e
kstar_nI12_nJ12_nK30_nL3_tI6_tJ6_s7.txt,12,12,30,3,6,6,7,12,5aac6e3408016039b77cbec2c72a57a8
kstar_nI12_nJ12_nK30_nL3_tI6_tJ6_s8.txt,12,12,30,3,6,6,8,12,1565ff42cbfb4128b498a0b35e499d96
kstar_nI12_nJ12_nK30_nL3_tI6_tJ6_s9.txt,12,12,30,3,6,6,9,12,23678980f1fc1101de39660252bccdc2
kstar_nI12_nJ12_nK30_nL3_tI6_tJ6_s10.txt,12,12,30,3,6,6,10,12,ae7fe9ba86e651e1925ebe7c67cd7e56
kstar_nI12_nJ12_nK30_nL3_tI8_tJ8_s1.txt,12,12,30,3,8,8,1,16,9c0f7949ee2947de1abf5f81900065de
kstar_nI12_nJ12_nK30_nL3_tI8_tJ8_s2.txt,12,12,30,3,8,8,2,16,b2afdb0493d0e393bc65882f22b0c0d9
