file,nI,nJ,nK,nL,tI,tJ,seed,kstar,md5
kstar_nI12_nJ12_nK30_nL3_tI2_tJ2_s1.txt,12,12,30,3,2,2,1,4,9adb7c909885a343bf5037c3ed4de787
kstar_nI12_nJ12_nK30_nL3_tI2_tJ2_s2.txt,12,12,30,3,2,2,2,4,139f05b3d8c0b0ec57d209a0d8377560
kstar_nI12_nJ12_nK30_nL3_tI2_tJ2_s3.txt,12,12,30,3,2,2,3,4,a866ab76f545f4959acfbfb20b0c5eb3
kstar_nI12_nJ12_nK30_nL3_tI4_tJ4_s1.txt,12,12,30,3,4,4,1,8,5979369ec15b12e523bee5ce9e6205cb
kstar_nI12_nJ12_nK30_nL3_tI4_tJ4_s2.txt,12,12,30,3,4,4,2,8,14f9f05b3c8a38b0a4db3977f60aaa72
kstar_nI12_nJ12_nK30_nL3_tI4_tJ4_s3.txt,12,12,30,3,4,4,3,8,97dc0d999afcca7059f097acade20ca9
kstar_nI12_nJ12_nK30_nL3_tI6_tJ6_s1.txt,12,12,30,3,6,6,1,12,6b3a94387a7c3ab6212cfdb2dd6c3333
kstar_nI12_nJ12_nK30_nL3_tI6_tJ6_s2.txt,12,12,30,3,6,6,2,12,30c029ff0d3075b64cbebb3355479384
kstar_nI12_nJ12_nK30_nL3_tI6_tJ6_s3.txt,12,12,30,3,6,6,3,12,762ab1a059c85050ea60e7534fc7b453
kstar_nI12_nJ12_nK30_nL3_tI8_tJ8_s1.txt,12,12,30,3,8,8,1,16,9c0f7949ee2947de1abf5f81900065de
kstar_nI12_nJ12_nK30_nL3_tI8_tJ8_s2.txt,12,12,30,3,8,8,2,16,b2afdb0493d0e393bc65882f22b0c0d9
kstar_nI12_nJ12_nK30_nL3_tI8_tJ8_s3.txt,12,12,30,3,8,8,3,16,79e9bea2057a40e569859621310e64b2
kstar_nI14_nJ14_nK30_nL3_tI2_tJ2_s1.txt,14,14,30,3,2,2,1,4,4d4680220e33dd50a2688af4121bd0e0
kstar_nI14_nJ14_nK30_nL3_tI2_tJ2_s2.txt,14,14,30,3,2,2,2,4,d04c01591509755a4c2433c3856d4b6c
kstar_nI14_nJ14_nK30_nL3_tI2_tJ2_s3.txt,14,14,30,3,2,2,3,4,8097eb67a2c4060ee371e0f0e36ff541
kstar_nI14_nJ14_nK30_nL3_tI4_tJ4_s1.txt,14,14,30,3,4,4,1,8,d3ac664f064c74eb81e1ef1d58c0865d
kstar_nI14_nJ14_nK30_nL3_tI4_tJ4_s2.txt,14,14,30,3,4,4,2,8,aa8655f0142a40ddbf38e3595c6d59e7
kstar_nI14_nJ14_nK30_nL3_tI4_tJ4_s3.txt,14,14,30,3,4,4,3,8,59dc543051bbac2fa25039bb7e80994e
kstar_nI14_nJ14_nK30_nL3_tI6_tJ6_s1.txt,14,14,30,3,6,6,1,12,8514b001fc44fe0e310c877008a9cc4c
kstar_nI14_nJ14_nK30_nL3_tI6_tJ6_s2.txt,14,14,30,3,6,6,2,12,31bb25ac3a249db27f9a313a11bcdc98
kstar_nI14_nJ14_nK30_nL3_tI6_tJ6_s3.txt,14,14,30,3,6,6,3,12,52ad320ac88ab1f09ed75391e88fed5d
kstar_nI14_nJ14_nK30_nL3_tI8_tJ8_s1.txt,14,14,30,3,8,8,1,16,458d0ac7aaf54169194d51fcf14a575a
kstar_nI14_nJ14_nK30_nL3_tI8_tJ8_s2.txt,14,14,30,3,8,8,2,16,b154021cf5ad79ee5b63420042853c6e
kstar_nI14_nJ14_nK30_nL3_tI8_tJ8_s3.txt,14,14,30,3,8,8,3,16,f357b5d9525f1943fcccc0325f557a71
