file,nI,nJ,nK,nL,tI,tJ,seed,kstar,md5
kstar_nI10_nJ10_nK30_nL3_tI2_tJ2_s1.txt,10,10,30,3,2,2,1,4,bb71bca8b82d8b0264089825cdfaf9e6
kstar_nI10_nJ10_nK30_nL3_tI2_tJ2_s2.txt,10,10,30,3,2,2,2,4,ffa3a71a07bc45a83233bc612b695113
kstar_nI10_nJ10_nK30_nL3_tI2_tJ2_s3.txt,10,10,30,3,2,2,3,4,6d99514c1bcf9f7adf81f367fd902235
kstar_nI10_nJ10_nK30_nL3_tI4_tJ4_s1.txt,10,10,30,3,4,4,1,8,2930898dd04a9c759065f3aa80dd810a
kstar_nI10_nJ10_nK30_nL3_tI4_tJ4_s2.txt,10,10,30,3,4,4,2,8,53d4309f49a62f232f318927129bbc68
kstar_nI10_nJ10_nK30_nL3_tI4_tJ4_s3.txt,10,10,30,3,4,4,3,8,56059f126190ce206713997a6ad6b8e8
kstar_nI10_nJ10_nK30_nL3_tI6_tJ6_s1.txt,10,10,30,3,6,6,1,12,1a45ad073de03e1713561632f3889107
kstar_nI10_nJ10_nK30_nL3_tI6_tJ6_s2.txt,10,10,30,3,6,6,2,12,fe5eb2c0a0f060538b7290b66503c487
kstar_nI10_nJ10_nK30_nL3_tI6_tJ6_s3.txt,10,10,30,3,6,6,3,12,ce8da02f1fc7bb06fe8443a16a103fbb
kstar_nI10_nJ10_nK30_nL3_tI8_tJ8_s1.txt,10,10,30,3,8,8,1,16,2e9616d0a964d5664498d269e599e739
kstar_nI10_nJ10_nK30_nL3_tI8_tJ8_s2.txt,10,10,30,3,8,8,2,16,cd2634d0136b52f3145809d4e059fbc0
kstar_nI10_nJ10_nK30_nL3_tI8_tJ8_s3.txt,10,10,30,3,8,8,3,16,0913e1d914345bba6d3cc35f144cc09c
kstar_nI15_nJ15_nK30_nL3_tI2_tJ2_s1.txt,15,15,30,3,2,2,1,4,01125bb3b98c1aab7b018154b08e27a4
kstar_nI15_nJ15_nK30_nL3_tI2_tJ2_s2.txt,15,15,30,3,2,2,2,4,462aaa6a6da77103460f0502da72d686
kstar_nI15_nJ15_nK30_nL3_tI2_tJ2_s3.txt,15,15,30,3,2,2,3,4,184ff773686d77e0f076cc5b468c8b2f
kstar_nI15_nJ15_nK30_nL3_tI4_tJ4_s1.txt,15,15,30,3,4,4,1,8,31477f3de467215f9a6b62b38233eb6b
kstar_nI15_nJ15_nK30_nL3_tI4_tJ4_s2.txt,15,15,30,3,4,4,2,8,cd7cae75f624ddd5a50d176b79ea46c7
kstar_nI15_nJ15_nK30_nL3_tI4_tJ4_s3.txt,15,15,30,3,4,4,3,8,48e0df726d176a84d176a194d2a9b12c
kstar_nI15_nJ15_nK30_nL3_tI6_tJ6_s1.txt,15,15,30,3,6,6,1,12,69a81bdf3ead12e3153990d518f18cab
kstar_nI15_nJ15_nK30_nL3_tI6_tJ6_s2.txt,15,15,30,3,6,6,2,12,fdf4cc20b04d8d02c90a852c4d3d6fbf
kstar_nI15_nJ15_nK30_nL3_tI6_tJ6_s3.txt,15,15,30,3,6,6,3,12,5fadef7e63fe3604ff382b27b0bb7ff7
kstar_nI15_nJ15_nK30_nL3_tI8_tJ8_s1.txt,15,15,30,3,8,8,1,16,993c4dccbdfb095e78f41cc4997cb634
kstar_nI15_nJ15_nK30_nL3_tI8_tJ8_s2.txt,15,15,30,3,8,8,2,16,2f2498891cff4b605ba6f4a2bdf4351f
kstar_nI15_nJ15_nK30_nL3_tI8_tJ8_s3.txt,15,15,30,3,8,8,3,16,bbc799f717d242babc3d4ae9446448e5
kstar_nI20_nJ20_nK30_nL3_tI2_tJ2_s1.txt,20,20,30,3,2,2,1,4,657338569fb86ecf079184480f017fd5
kstar_nI20_nJ20_nK30_nL3_tI2_tJ2_s2.txt,20,20,30,3,2,2,2,4,ef8bd6a87c66597f8f7c97702b5692bd
kstar_nI20_nJ20_nK30_nL3_tI2_tJ2_s3.txt,20,20,30,3,2,2,3,4,0df6daa18eb7451c5b143753de9477f3
kstar_nI20_nJ20_nK30_nL3_tI4_tJ4_s1.txt,20,20,30,3,4,4,1,8,7b6d66b8b510aa19592fb6d9bf3f4502
kstar_nI20_nJ20_nK30_nL3_tI4_tJ4_s2.txt,20,20,30,3,4,4,2,8,99d9fcfabf27059cccbbef8b4deb14b9
kstar_nI20_nJ20_nK30_nL3_tI4_tJ4_s3.txt,20,20,30,3,4,4,3,8,8dda65555b4759f40ed4bd3b4f6f86a9
kstar_nI20_nJ20_nK30_nL3_tI6_tJ6_s1.txt,20,20,30,3,6,6,1,12,21a4fa6f15dfea98ad6e47bc2592ec00
kstar_nI20_nJ20_nK30_nL3_tI6_tJ6_s2.txt,20,20,30,3,6,6,2,12,4c1279c55bc2529c4998c7430f3c476d
kstar_nI20_nJ20_nK30_nL3_tI6_tJ6_s3.txt,20,20,30,3,6,6,3,12,02f8d565052f915900ff80be792dd39f
kstar_nI20_nJ20_nK30_nL3_tI8_tJ8_s1.txt,20,20,30,3,8,8,1,16,0528c91463ce9431c2664b57cb885d79
kstar_nI20_nJ20_nK30_nL3_tI8_tJ8_s2.txt,20,20,30,3,8,8,2,16,a651698689bffaf078ad0fdaee03a2ac
kstar_nI20_nJ20_nK30_nL3_tI8_tJ8_s3.txt,20,20,30,3,8,8,3,16,2698948972b609efb59d0f70d6305213
