file,nI,nJ,nK,nL,tI,tJ,seed,kstar,md5
kstar_nI20_nJ20_nK50_nL5_tI2_tJ2_s1.txt,20,20,50,5,2,2,1,4,3a4c53156cc4b93c29e24f0d4daa8772
kstar_nI20_nJ20_nK50_nL5_tI2_tJ2_s2.txt,20,20,50,5,2,2,2,4,ff38c6a7f98a06fafe01c829071cba16
kstar_nI20_nJ20_nK50_nL5_tI2_tJ2_s3.txt,20,20,50,5,2,2,3,4,b0885f69873ff2a2c4de3d51b8592eb7
kstar_nI20_nJ20_nK50_nL5_tI2_tJ2_s4.txt,20,20,50,5,2,2,4,4,6295d49f16426ff80d73780c9fc4c08b
kstar_nI20_nJ20_nK50_nL5_tI2_tJ2_s5.txt,20,20,50,5,2,2,5,4,9164445cbf3a8180e89b8492f5dca373
kstar_nI20_nJ20_nK50_nL5_tI3_tJ3_s1.txt,20,20,50,5,3,3,1,6,caeab8772483653c578abf20b90942ad
kstar_nI20_nJ20_nK50_nL5_tI3_tJ3_s2.txt,20,20,50,5,3,3,2,6,15003c4c12f3d8ead5546efc20c6fe57
kstar_nI20_nJ20_nK50_nL5_tI3_tJ3_s3.txt,20,20,50,5,3,3,3,6,d892a41c9bffafcc5554b447582c0e5a
kstar_nI20_nJ20_nK50_nL5_tI3_tJ3_s4.txt,20,20,50,5,3,3,4,6,51eec8cf4c45361820b5285ab0da7517
kstar_nI20_nJ20_nK50_nL5_tI3_tJ3_s5.txt,20,20,50,5,3,3,5,6,5036ecfbd200ab81b3957e18755c0408
kstar_nI20_nJ20_nK50_nL5_tI4_tJ4_s1.txt,20,20,50,5,4,4,1,8,dc587aff3434cd9a3fc94df5cfb66870
kstar_nI20_nJ20_nK50_nL5_tI4_tJ4_s2.txt,20,20,50,5,4,4,2,8,d9bd2b93e5ae624a5f22b6806f23bc49
kstar_nI20_nJ20_nK50_nL5_tI4_tJ4_s3.txt,20,20,50,5,4,4,3,8,f4253e38adb4035a804783f66115b851
kstar_nI20_nJ20_nK50_nL5_tI4_tJ4_s4.txt,20,20,50,5,4,4,4,8,d101b26d5734279a2e809395b75f5204
kstar_nI20_nJ20_nK50_nL5_tI4_tJ4_s5.txt,20,20,50,5,4,4,5,8,c7a71ab4c2acd286bd90858d9473701b
